127.0.0.1 - - [18/Feb/2025:08:03:58 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:16:47 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841407355&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:16:47 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841407355&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 16809
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:16:56 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841416163&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:16:56 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841416163&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 16809
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:18:48 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841528796&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:18:49 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841528796&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 16809
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:19:00 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841540020&vslCallId=ASHL&blNo=BLLV-PKG-1&grNo=&cgNo=BLLV-PKG-1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:19:00 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841540020&vslCallId=ASHL&blNo=BLLV-PKG-1&grNo=&cgNo=BLLV-PKG-1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 16815
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:19:12 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841552310&vslCallId=ASHL&blNo=BLLVTSA&grNo=&cgNo=BLLVTSA&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:19:12 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841552310&vslCallId=ASHL&blNo=BLLVTSA&grNo=&cgNo=BLLVTSA&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 11734
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:20:14 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841614976&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:20:15 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841614976&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 16809
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:03 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841663236&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:03 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargohandlingout/cargohandlingoutlist?_dc=1739841663236&vslCallId=ASHL&blNo=BLLV1&grNo=&cgNo=BLLV1&cgInOutCd=O&lorryId=&shftId=&shftDt=&cgTpCd=BBK&page=1&start=0&limit=25 HTTP/1.1" 200 16809
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:19 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739841679270&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=JOBVA&searchType=DISCHARGING&imtNo=&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:19 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739841679270&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=JOBVA&searchType=DISCHARGING&imtNo=&page=1&start=0&limit=100 HTTP/1.1" 200 96453
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:32 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739841692578&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=BL&searchType=DISCHARGING&imtNo=&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:32 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739841692578&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=BL&searchType=DISCHARGING&imtNo=&page=1&start=0&limit=100 HTTP/1.1" 200 24325
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841702992&vslCallId=ASHL&searchType=MBLNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841702996&vslCallId=ASHL&searchType=BLNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841702998&vslCallId=ASHL&searchType=BOOKINGNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841703003&vslCallId=ASHL&searchType=SNNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841702998&vslCallId=ASHL&searchType=BOOKINGNO&page=1&start=0&limit=25 HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841703003&vslCallId=ASHL&searchType=SNNO&page=1&start=0&limit=25 HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841702996&vslCallId=ASHL&searchType=BLNO&page=1&start=0&limit=25 HTTP/1.1" 200 35550
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:43 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/document?_dc=1739841702992&vslCallId=ASHL&searchType=MBLNO&page=1&start=0&limit=25 HTTP/1.1" 200 35247
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:44 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739841704131&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=BL&searchType=DISCHARGING&imtNo=&truckTpCd=E&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:44 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739841704131&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=BL&searchType=DISCHARGING&imtNo=&truckTpCd=E&page=1&start=0&limit=100 HTTP/1.1" 200 24325
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:48 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708350&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:48 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708437&lcd=MT&mcd=HTC&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:48 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708441&searchType=CRANE_EQ&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:48 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708444&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:48 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargodischarging/cargoDischargingList?_dc=1739841708449&vslCallId=ASHL&cgTpCd=BBK&shftDt=&shftId=&blNo=BLLV1&gateTxnNo=&sdoNo=&searchType=discharging&hhtFlags=1STLD&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:48 +0700] "GET /MOST_MMC_VMT_Web/direct/ws/connect-websocket/info?access_token=FitiFLR34hJlVQhx4v2Kb2csnDY6mFl6etJrGflRZUM0Yj_qHsYx0Xwyqp_GskuH2Xjj2J3mA1GOGQ921_CGAA&t=1739841708489 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:48 +0700] "GET /MOST_MMC_VMT_Web/direct/ws/connect-websocket/058/gw1wwq2q/websocket?access_token=FitiFLR34hJlVQhx4v2Kb2csnDY6mFl6etJrGflRZUM0Yj_qHsYx0Xwyqp_GskuH2Xjj2J3mA1GOGQ921_CGAA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:49 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708444&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 17879
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:49 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708437&lcd=MT&mcd=HTC&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 38761
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:49 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708441&searchType=CRANE_EQ&page=1&start=0&limit=25 HTTP/1.1" 200 70406
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:49 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739841708350&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 17879
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:21:49 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargodischarging/cargoDischargingList?_dc=1739841708449&vslCallId=ASHL&cgTpCd=BBK&shftDt=&shftId=&blNo=BLLV1&gateTxnNo=&sdoNo=&searchType=discharging&hhtFlags=1STLD&page=1&start=0&limit=25 HTTP/1.1" 200 29804
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:45 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785834&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:45 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785865&lcd=MT&mcd=HTC&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:45 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785873&searchType=CRANE_EQ&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:45 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargodischarging/cargoDischargingList?_dc=1739842785880&vslCallId=ASHL&cgTpCd=BBK&shftDt=&shftId=&blNo=BLLV1&gateTxnNo=&sdoNo=&searchType=discharging&hhtFlags=1STLD&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:45 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785876&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:45 +0700] "GET /MOST_MMC_VMT_Web/direct/ws/connect-websocket/info?access_token=FitiFLR34hJlVQhx4v2Kb2csnDY6mFl6etJrGflRZUM0Yj_qHsYx0Xwyqp_GskuH2Xjj2J3mA1GOGQ921_CGAA&t=1739842785945 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:45 +0700] "GET /MOST_MMC_VMT_Web/direct/ws/connect-websocket/139/ptpcq0s1/websocket?access_token=FitiFLR34hJlVQhx4v2Kb2csnDY6mFl6etJrGflRZUM0Yj_qHsYx0Xwyqp_GskuH2Xjj2J3mA1GOGQ921_CGAA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:46 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785876&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 17879
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:46 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785873&searchType=CRANE_EQ&page=1&start=0&limit=25 HTTP/1.1" 200 70406
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:46 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785834&lcd=MT&mcd=TSPTTP&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 17879
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:46 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739842785865&lcd=MT&mcd=HTC&scdUse=Y&page=1&start=0&limit=25 HTTP/1.1" 200 38761
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:39:46 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargodischarging/cargoDischargingList?_dc=1739842785880&vslCallId=ASHL&cgTpCd=BBK&shftDt=&shftId=&blNo=BLLV1&gateTxnNo=&sdoNo=&searchType=discharging&hhtFlags=1STLD&page=1&start=0&limit=25 HTTP/1.1" 200 29804
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:01 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341932&vslCallId=ASHL&searchType=MBLNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:01 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341936&vslCallId=ASHL&searchType=BLNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:01 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341942&vslCallId=ASHL&searchType=BOOKINGNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:01 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341945&vslCallId=ASHL&searchType=SNNO&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:02 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341942&vslCallId=ASHL&searchType=BOOKINGNO&page=1&start=0&limit=25 HTTP/1.1" 200 3828
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:02 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341936&vslCallId=ASHL&searchType=BLNO&page=1&start=0&limit=25 HTTP/1.1" 200 35550
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:02 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341932&vslCallId=ASHL&searchType=MBLNO&page=1&start=0&limit=25 HTTP/1.1" 200 35247
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:03 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/combobox/codemaster?_dc=1739843341945&vslCallId=ASHL&searchType=SNNO&page=1&start=0&limit=25 HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:07 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739843347423&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=JOBVA&searchType=DISCHARGING&imtNo=&page=1&start=0&limit=100 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:07 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/cargomanualctl/cargoManualCtlImportList?_dc=1739843347423&vslCallId=ASHL&blNo=&masterBL=&cgNo=&lorryNo=&userRefNo=&listType=JOBVA&searchType=DISCHARGING&imtNo=&page=1&start=0&limit=100 HTTP/1.1" 200 96453
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:10 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/whcheckimport/whcheckimportlist?_dc=1739843350862&vslCallId=ASHL&cgTpCd=BBK&shftDt=&shftId=&blNo=BLLV1&searchType=discharging&hhtFlags=1STLD&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:10 +0700] "GET /MOST_MMC_VMT_Web/direct/ws/connect-websocket/info?access_token=FitiFLR34hJlVQhx4v2Kb2csnDY6mFl6etJrGflRZUM0Yj_qHsYx0Xwyqp_GskuH2Xjj2J3mA1GOGQ921_CGAA&t=1739843350895 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:10 +0700] "GET /MOST_MMC_VMT_Web/direct/ws/connect-websocket/130/jgrfxjju/websocket?access_token=FitiFLR34hJlVQhx4v2Kb2csnDY6mFl6etJrGflRZUM0Yj_qHsYx0Xwyqp_GskuH2Xjj2J3mA1GOGQ921_CGAA HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:11 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/whcheckimport/whcheckimportlist?_dc=1739843350862&vslCallId=ASHL&cgTpCd=BBK&shftDt=&shftId=&blNo=BLLV1&searchType=discharging&hhtFlags=1STLD&page=1&start=0&limit=25 HTTP/1.1" 200 29804
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:11 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/v1/whcheckimport/loadlocation?_dc=1739843351554&vslCallId=ASHL&blNo=BLLV1&page=1&start=0&limit=25 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:08:49:11 +0700] "GET /MOST_MMC_VMT_Web/rest/v1/whcheckimport/loadlocation?_dc=1739843351554&vslCallId=ASHL&blNo=BLLV1&page=1&start=0&limit=25 HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [18/Feb/2025:09:54:39 +0700] "OPTIONS /MOST_MMC_VMT_Web/rest/auth/token?_dc=1739847279271 HTTP/1.1" 202 -
0:0:0:0:0:0:0:1 - - [18/Feb/2025:09:54:39 +0700] "POST /MOST_MMC_VMT_Web/rest/auth/token?_dc=1739847279271 HTTP/1.1" 200 1982
